,id,context,question,generated,Rouge-L,BERTScore,BLEURT,Self-BLEU
193,194,"""'It is I that should kneel to you, Sweetheart,"" he said, turning to the blushing girl. ""For you have delivered me from a fearful spell, which was cast over me in my infancy by a wicked Fairy, who at the same time slew my father. For long years I have lived in that well, the Well o' the World's End, waiting for a maiden to appear, who should take pity on me, even in my loathsome disguise. She who would promise to be my wife, and who would also have the kindness to let me into her house, and the courage, at my bidding, to cut off my head.  ""Now I can return and claim my father's Kingdom, and you, most gracious maiden, will go with me, and be my bride, for you well deserve the honour.""  And this was how the girl who went to fetch water from the Well o' the World's End became a Princess.",Why did the prince wait for a maiden to appear?,"1. What was the fearful spell cast over the man in his infancy?
2. Why did the man live in the Well o' the World's End for so long?
3. How did the man finally escape the well?
4. What was the man's plan to claim his father's kingdom?
5. How did the girl become a princess?
6. What was the man's plan for the girl?
7. Why did the man choose the girl to be his bride?","[0.08695652173913043, 0.3076923076923077, 0.22222222222222224, 0.1818181818181818, 0.3529411764705882, 0.2105263157894737, 0.380952380952381]","[0.87865174, 0.8839612, 0.9111812, 0.8989197, 0.9235869, 0.90219426, 0.9257309]","[0.32389402389526367, 0.26961591839790344, 0.2763076424598694, 0.3477708697319031, 0.4737250804901123, 0.4039762020111084, 0.5499001145362854]","[0.0925159978069645, 0.164670298558459, 0.18575057999133598, 0.4211813371894875, 0.1525487608028145, 0.6147881529512643, 0.256707056599418]"
194,195,"""'It is I that should kneel to you, Sweetheart,"" he said, turning to the blushing girl. ""For you have delivered me from a fearful spell, which was cast over me in my infancy by a wicked Fairy, who at the same time slew my father. For long years I have lived in that well, the Well o' the World's End, waiting for a maiden to appear, who should take pity on me, even in my loathsome disguise. She who would promise to be my wife, and who would also have the kindness to let me into her house, and the courage, at my bidding, to cut off my head.  ""Now I can return and claim my father's Kingdom, and you, most gracious maiden, will go with me, and be my bride, for you well deserve the honour.""  And this was how the girl who went to fetch water from the Well o' the World's End became a Princess.",What did the prince plan to do after the spell was broken?,"1. What was the fearful spell cast over the man in his infancy?
2. Why did the man live in the Well o' the World's End for so long?
3. How did the man finally escape the well?
4. What was the man's plan to claim his father's kingdom?
5. How did the girl become a princess?
6. What was the man's plan to marry the girl?
7. Why did the man need the girl's help to cut off his head?","[0.24000000000000002, 0.21428571428571427, 0.3, 0.3333333333333333, 0.2105263157894737, 0.45454545454545453, 0.23076923076923075]","[0.8935724, 0.8780328, 0.9105647, 0.9143719, 0.91444594, 0.91483486, 0.8973148]","[0.4218170642852783, 0.32248324155807495, 0.35167455673217773, 0.4509575366973877, 0.4077492356300354, 0.4443897008895874, 0.3494545817375183]","[0.0925159978069645, 0.15989214998944032, 0.18575057999133598, 0.5008718428920987, 0.1525487608028145, 0.6484115071397645, 0.22229849552064015]"
195,196,"""'It is I that should kneel to you, Sweetheart,"" he said, turning to the blushing girl. ""For you have delivered me from a fearful spell, which was cast over me in my infancy by a wicked Fairy, who at the same time slew my father. For long years I have lived in that well, the Well o' the World's End, waiting for a maiden to appear, who should take pity on me, even in my loathsome disguise. She who would promise to be my wife, and who would also have the kindness to let me into her house, and the courage, at my bidding, to cut off my head.  ""Now I can return and claim my father's Kingdom, and you, most gracious maiden, will go with me, and be my bride, for you well deserve the honour.""  And this was how the girl who went to fetch water from the Well o' the World's End became a Princess.",Why did the daughter deserve to be the bride of the prince?,"1. What was the fearful spell cast over the man in his infancy?
2. What was the wicked Fairy's intention in casting the spell?
3. How did the man live in the Well o' the World's End for many years?
4. Why did the man need a maiden to take pity on him and cut off his head?
5. How did the girl become a Princess?
6. What was the man's father's Kingdom?
7. What was the man's intention in claiming his father's Kingdom?","[0.16, 0.17391304347826086, 0.28571428571428575, 0.27586206896551724, 0.2105263157894737, 0.1, 0.08333333333333333]","[0.8910888, 0.89880866, 0.8828062, 0.8867081, 0.9326118, 0.89057136, 0.91090965]","[0.3297276496887207, 0.3893321752548218, 0.3037123680114746, 0.3522862195968628, 0.504510223865509, 0.32957613468170166, 0.40660732984542847]","[0.09528070628428423, 0.14435698639383066, 0.08991396351259592, 0.06357877332311639, 0.13784336590962212, 0.7476743906106103, 0.5801559414528517]"
196,197,"In the old days there lived in Kvam a marksman by the name of Per Gynt. He was continually in the mountains, where he shot bear and elk. At that time there were more forests on the Fjoll, and all sorts of beasts dwelt in them. Once, late in the fall, when the cattle had long since been driven down from the mountain pastures, Per Gynt decided to go up on the Fjoll again. With the exception of three dairy-maids, all the herd-folk had already left the mountains. But when Per Gynt reached Hovringalm, where he intended to stay over-night in a herdsman's hut, it already was so dark that he could not see his hand before his eyes. Then the dogs began to bark so violently that he felt quite uneasy. And suddenly his foot struck something. When he took hold of it, it was cold, and large and slippery. Since he felt certain he had not left the path, he could not imagine what it might be; but he sensed that all was not in order.",Who was Per Gynt?,"1. What was the name of the marksman?
2. Where did he live?
3. What did he do for a living?
4. What was the time period in which he lived?
5. What was the weather like at the time?
6. What did he encounter while going up the mountain?
7. What did he find when he reached the hut?","[0.16666666666666666, 0.0, 0.0, 0.15384615384615383, 0.16666666666666666, 0.0, 0.0]","[0.8695991, 0.88859934, 0.8702393, 0.8782003, 0.86935174, 0.87215805, 0.86817247]","[0.2911859154701233, 0.37787389755249023, 0.3394918441772461, 0.36832112073898315, 0.2949761748313904, 0.33447450399398804, 0.2849079966545105]","[0.1186840521952098, 0.06900940978236146, 0.13036420666577953, 0.13747081017605653, 0.1561969968460128, 0.1186840521952098, 0.1186840521952098]"
197,198,"In the old days there lived in Kvam a marksman by the name of Per Gynt. He was continually in the mountains, where he shot bear and elk. At that time there were more forests on the Fjoll, and all sorts of beasts dwelt in them. Once, late in the fall, when the cattle had long since been driven down from the mountain pastures, Per Gynt decided to go up on the Fjoll again. With the exception of three dairy-maids, all the herd-folk had already left the mountains. But when Per Gynt reached Hovringalm, where he intended to stay over-night in a herdsman's hut, it already was so dark that he could not see his hand before his eyes. Then the dogs began to bark so violently that he felt quite uneasy. And suddenly his foot struck something. When he took hold of it, it was cold, and large and slippery. Since he felt certain he had not left the path, he could not imagine what it might be; but he sensed that all was not in order.",What did Per Gynt do in the mountains?,"1. What was the name of the marksman?
2. Where did he live?
3. What did he do for a living?
4. What was the name of the mountain he was on?
5. What time of year was it when he decided to go up on the mountain?
6. How many people were left in the mountains?
7. What did he find when he reached the mountain?
8. What was the weather like when he reached the mountain?
9. What did he do when he found the object?
10. What did he think it was?","[0.25, 0.16666666666666666, 0.39999999999999997, 0.22222222222222224, 0.1739130434782609, 0.375, 0.35294117647058826, 0.22222222222222224, 0.47058823529411764, 0.28571428571428575]","[0.8800157, 0.9101493, 0.9056213, 0.8956285, 0.8921029, 0.90425134, 0.91465884, 0.906351, 0.90845627, 0.8924702]","[0.25766319036483765, 0.33143752813339233, 0.36754411458969116, 0.42552757263183594, 0.4940430521965027, 0.3410848081111908, 0.4611210823059082, 0.47441595792770386, 0.3662984073162079, 0.23518411815166473]","[0.537284965911771, 0.08428828344718171, 0.3655552228545123, 0.5491004867761125, 0.09103526405546068, 0.028517539529041507, 0.6580370064762462, 0.587728372510532, 0.3356891925037239, 0.1685324060991242]"
198,199,"In the old days there lived in Kvam a marksman by the name of Per Gynt. He was continually in the mountains, where he shot bear and elk. At that time there were more forests on the Fjoll, and all sorts of beasts dwelt in them. Once, late in the fall, when the cattle had long since been driven down from the mountain pastures, Per Gynt decided to go up on the Fjoll again. With the exception of three dairy-maids, all the herd-folk had already left the mountains. But when Per Gynt reached Hovringalm, where he intended to stay over-night in a herdsman's hut, it already was so dark that he could not see his hand before his eyes. Then the dogs began to bark so violently that he felt quite uneasy. And suddenly his foot struck something. When he took hold of it, it was cold, and large and slippery. Since he felt certain he had not left the path, he could not imagine what it might be; but he sensed that all was not in order.",Where did Per Gynt live?,"1. What was the name of the marksman who lived in Kvam?
2. Where did he live?
3. What did he do for a living?
4. What was the name of the mountain where he lived?
5. What time of year did he decide to go up on the mountain?
6. What was the exception of the herd-folk?
7. What did he find when he reached the mountain?
8. What did he feel when he took hold of the cold, large and slippery object?
9. What did he not imagine it might be?
10. What did he sense was not in order?","[0.0, 0.6666666666666665, 0.16666666666666666, 0.13333333333333333, 0.1111111111111111, 0.0, 0.14285714285714285, 0.1, 0.15384615384615385, 0.15384615384615385]","[0.8579818, 0.91987187, 0.882116, 0.86985964, 0.86436397, 0.86851543, 0.8754076, 0.85722864, 0.8489264, 0.8609579]","[0.22741419076919556, 0.6456227898597717, 0.3618852496147156, 0.3938182592391968, 0.30305108428001404, 0.20720882713794708, 0.30615824460983276, 0.29531335830688477, 0.18099018931388855, 0.22212167084217072]","[0.3872015705071016, 0.06900940978236146, 0.1477219991186121, 0.5491004867761125, 0.09669265690880861, 0.18092176081223305, 0.1996019880774733, 0.08651480732019924, 0.13485111859503685, 0.14668528946556558]"
199,200,"In the old days there lived in Kvam a marksman by the name of Per Gynt. He was continually in the mountains, where he shot bear and elk. At that time there were more forests on the Fjoll, and all sorts of beasts dwelt in them. Once, late in the fall, when the cattle had long since been driven down from the mountain pastures, Per Gynt decided to go up on the Fjoll again. With the exception of three dairy-maids, all the herd-folk had already left the mountains. But when Per Gynt reached Hovringalm, where he intended to stay over-night in a herdsman's hut, it already was so dark that he could not see his hand before his eyes. Then the dogs began to bark so violently that he felt quite uneasy. And suddenly his foot struck something. When he took hold of it, it was cold, and large and slippery. Since he felt certain he had not left the path, he could not imagine what it might be; but he sensed that all was not in order.",What dwelt in the forests?,"1. What was the name of the marksman?
2. Where did he live?
3. What did he do?
4. When did he decide to go up on the Fjoll again?
5. What was the exception?
6. What did he find when he reached Hovringalm?
7. How did he feel when he took hold of the cold, large, and slippery object?","[0.3076923076923077, 0.0, 0.22222222222222224, 0.12500000000000003, 0.4444444444444445, 0.15384615384615385, 0.1]","[0.88320124, 0.8971234, 0.88835186, 0.8789666, 0.8908813, 0.85958064, 0.8760268]","[0.2990954518318176, 0.3531351685523987, 0.3540109694004059, 0.23323380947113037, 0.263047456741333, 0.3218809962272644, 0.3096964955329895]","[0.13134549472120793, 0.12574334296829354, 0.28574404296988, 0.0428361950754725, 0.28574404296988, 0.13977121394614234, 0.04112175645551036]"
200,201,"In the old days there lived in Kvam a marksman by the name of Per Gynt. He was continually in the mountains, where he shot bear and elk. At that time there were more forests on the Fjoll, and all sorts of beasts dwelt in them. Once, late in the fall, when the cattle had long since been driven down from the mountain pastures, Per Gynt decided to go up on the Fjoll again. With the exception of three dairy-maids, all the herd-folk had already left the mountains. But when Per Gynt reached Hovringalm, where he intended to stay over-night in a herdsman's hut, it already was so dark that he could not see his hand before his eyes. Then the dogs began to bark so violently that he felt quite uneasy. And suddenly his foot struck something. When he took hold of it, it was cold, and large and slippery. Since he felt certain he had not left the path, he could not imagine what it might be; but he sensed that all was not in order.",What happened when Per Gynt reached Hovringalm?,"1. What was the name of the marksman?
2. Where did he live?
3. What did he do for a living?
4. What was the time period in which he lived?
5. What was the weather like at the time?
6. What did he encounter while going up the mountain?
7. What did he find when he reached the hut?","[0.13333333333333333, 0.0, 0.14285714285714285, 0.125, 0.13333333333333333, 0.125, 0.375]","[0.839671, 0.8498587, 0.8429518, 0.843355, 0.84284335, 0.85541093, 0.86476487]","[0.18477623164653778, 0.22783808410167694, 0.22263546288013458, 0.28366953134536743, 0.26146504282951355, 0.36531198024749756, 0.3701309263706207]","[0.1186840521952098, 0.06900940978236146, 0.13036420666577953, 0.13747081017605653, 0.1561969968460128, 0.1186840521952098, 0.1186840521952098]"
201,202,"In the old days there lived in Kvam a marksman by the name of Per Gynt. He was continually in the mountains, where he shot bear and elk. At that time there were more forests on the Fjoll, and all sorts of beasts dwelt in them. Once, late in the fall, when the cattle had long since been driven down from the mountain pastures, Per Gynt decided to go up on the Fjoll again. With the exception of three dairy-maids, all the herd-folk had already left the mountains. But when Per Gynt reached Hovringalm, where he intended to stay over-night in a herdsman's hut, it already was so dark that he could not see his hand before his eyes. Then the dogs began to bark so violently that he felt quite uneasy. And suddenly his foot struck something. When he took hold of it, it was cold, and large and slippery. Since he felt certain he had not left the path, he could not imagine what it might be; but he sensed that all was not in order.",What did Per Gynt intend to do in Hovringalm?,"1. What was the name of the marksman?
2. Where did he live?
3. What did he do for a living?
4. What was the time period in which he lived?
5. What was the weather like at the time?
6. What did he encounter on his journey?
7. What was the nature of the object he encountered?","[0.11764705882352941, 0.15384615384615383, 0.375, 0.2222222222222222, 0.11764705882352941, 0.25, 0.1111111111111111]","[0.8491329, 0.8690703, 0.8635887, 0.8509402, 0.8540496, 0.87112546, 0.8582897]","[0.22450435161590576, 0.2783241868019104, 0.3181299567222595, 0.3112165331840515, 0.27621451020240784, 0.2985267639160156, 0.3219854235649109]","[0.13747081017605653, 0.06900940978236146, 0.1477219991186121, 0.13747081017605653, 0.1561969968460128, 0.1477219991186121, 0.14287202148494]"
202,203,"In the old days there lived in Kvam a marksman by the name of Per Gynt. He was continually in the mountains, where he shot bear and elk. At that time there were more forests on the Fjoll, and all sorts of beasts dwelt in them. Once, late in the fall, when the cattle had long since been driven down from the mountain pastures, Per Gynt decided to go up on the Fjoll again. With the exception of three dairy-maids, all the herd-folk had already left the mountains. But when Per Gynt reached Hovringalm, where he intended to stay over-night in a herdsman's hut, it already was so dark that he could not see his hand before his eyes. Then the dogs began to bark so violently that he felt quite uneasy. And suddenly his foot struck something. When he took hold of it, it was cold, and large and slippery. Since he felt certain he had not left the path, he could not imagine what it might be; but he sensed that all was not in order.",What made Per Gynt feel uneasy?,"1. What was the name of the marksman?
2. Where did he live?
3. What did he do for a living?
4. What was the time period in which he lived?
5. What was the weather like at the time?
6. What did he encounter on his journey?
7. What was the nature of the object he encountered?","[0.14285714285714288, 0.0, 0.15384615384615383, 0.13333333333333333, 0.14285714285714288, 0.15384615384615383, 0.13333333333333333]","[0.8620185, 0.88128287, 0.8706795, 0.8684063, 0.8698084, 0.88351995, 0.8781511]","[0.1783202886581421, 0.24779117107391357, 0.28783148527145386, 0.2651672065258026, 0.28625649213790894, 0.3244384527206421, 0.3121248185634613]","[0.13747081017605653, 0.06900940978236146, 0.1477219991186121, 0.13747081017605653, 0.1561969968460128, 0.1477219991186121, 0.14287202148494]"
203,204,"In the old days there lived in Kvam a marksman by the name of Per Gynt. He was continually in the mountains, where he shot bear and elk. At that time there were more forests on the Fjoll, and all sorts of beasts dwelt in them. Once, late in the fall, when the cattle had long since been driven down from the mountain pastures, Per Gynt decided to go up on the Fjoll again. With the exception of three dairy-maids, all the herd-folk had already left the mountains. But when Per Gynt reached Hovringalm, where he intended to stay over-night in a herdsman's hut, it already was so dark that he could not see his hand before his eyes. Then the dogs began to bark so violently that he felt quite uneasy. And suddenly his foot struck something. When he took hold of it, it was cold, and large and slippery. Since he felt certain he had not left the path, he could not imagine what it might be; but he sensed that all was not in order.",How did Per Gynt not know what his foot had struck?,"1. What was the name of the marksman who lived in Kvam?
2. Where did he live?
3. What did he do for a living?
4. When did he decide to go up on the Fjoll again?
5. What was the exception of the herd-folk?
6. What did he find when he reached Hovringalm?
7. What was the cause of his uneasiness?
8. What did he feel certain he had not left the path for?
9. What did he sense was not in order?","[0.08695652173913043, 0.13333333333333333, 0.1111111111111111, 0.09090909090909091, 0.10526315789473685, 0.10526315789473685, 0.2222222222222222, 0.17391304347826086, 0.2105263157894737]","[0.8626854, 0.88779384, 0.8663572, 0.86993974, 0.864639, 0.8576422, 0.8726617, 0.87819576, 0.87962973]","[0.23224098980426788, 0.19995546340942383, 0.22587735950946808, 0.25742653012275696, 0.20216451585292816, 0.2500632703304291, 0.3164452314376831, 0.30692344903945923, 0.31793075799942017]","[0.09669265690880861, 0.06900940978236146, 0.1561969968460128, 0.0394112020231606, 0.18092176081223305, 0.13485111859503685, 0.1561969968460128, 0.09826541096288843, 0.14668528946556558]"
204,205,"""And who are you?"" asked Per Gynt, for he noticed that it moved.  ""O, I am the crooked one,"" was the answer. And now Per Gynt knew as much as he had before. So he went along its length, ""for sooner or later I will come to the end of it,"" thought he.  As he went along he again struck against something, and when he felt it, it was again something cold, and large and slippery.  ""And who are you?"" asked Per Gynt.  ""I am the crooked one,"" was again the answer.",Why did Per Gynt ask who was in his hand?,"1. What is the crooked one?
2. When did Per Gynt notice that it moved?
3. Where did Per Gynt notice that it moved?
4. Which did Per Gynt notice that it moved?
5. Who was the crooked one?
6. Why did Per Gynt notice that it moved?
7. How did Per Gynt notice that it moved?","[0.0, 0.33333333333333326, 0.33333333333333326, 0.33333333333333326, 0.26666666666666666, 0.4444444444444445, 0.33333333333333326]","[0.86294055, 0.9157643, 0.91543925, 0.913935, 0.86545527, 0.91652787, 0.9129048]","[0.1995794028043747, 0.35095328092575073, 0.33804404735565186, 0.34203171730041504, 0.20636358857154846, 0.4250240921974182, 0.35848015546798706]","[0.3050975216056289, 0.8633400213704505, 0.8633400213704505, 0.8633400213704505, 0.36409302398068727, 0.8633400213704505, 0.8633400213704505]"
205,206,"""And who are you?"" asked Per Gynt, for he noticed that it moved.  ""O, I am the crooked one,"" was the answer. And now Per Gynt knew as much as he had before. So he went along its length, ""for sooner or later I will come to the end of it,"" thought he.  As he went along he again struck against something, and when he felt it, it was again something cold, and large and slippery.  ""And who are you?"" asked Per Gynt.  ""I am the crooked one,"" was again the answer.","What was the cold, and large, and slippery?","1. What is the crooked one?
2. When did Per Gynt notice that it moved?
3. Where did Per Gynt notice that it moved?
4. Which did Per Gynt notice that it moved?
5. Who was the crooked one?
6. Why did Per Gynt ask ""And who are you?""?
7. How did Per Gynt know as much as he had before?","[0.28571428571428575, 0.0, 0.0, 0.0, 0.3076923076923077, 0.11764705882352941, 0.0]","[0.8716978, 0.8595076, 0.8587612, 0.8590363, 0.887199, 0.8497721, 0.85109717]","[0.3349217176437378, 0.22834749519824982, 0.23381307721138, 0.26286014914512634, 0.3068317174911499, 0.2515729069709778, 0.24338595569133759]","[0.3050975216056289, 0.8633400213704505, 0.8633400213704505, 0.8633400213704505, 0.36409302398068727, 0.08263103182212594, 0.08334454495388126]"
206,207,"""Well, whether you be crooked or straight, you will have to let me pass,"" said Per Gynt. He noticed that he was going around in a circle, and that the crooked one had coiled himself about the herdsman's cottage. At these words the crooked one moved a little to one side, so that Per Gynt could get into the cottage. When he entered he found it as dark inside as it was out. He stumbled and felt his way along the walls. He wanted to lay aside his firelock and his hunting-bag. But while he was feeling his way about, he once more noticed the something large, and cold and slippery.  ""And who are you now?"" cried Per Gynt.  ""O, I am the big crooked one,"" was the answer. And no matter where he took hold or where he set his foot, he could feel the coils of the crooked one laid around him.  ""This is a poor place to be in,"" thought Per Gynt, ""for this crooked one is outside and inside. I will soon put what is wrong to rights."" He took his firelock, went out again, and felt his way along the crooked one until he came to his head.",What did Per Gynt do when he entered the cottage?,"1. What is the name of the character who is speaking?
2. What is the name of the character who is being spoken to?
3. What is the setting of the story?
4. What is the main character's goal?
5. What is the main character's relationship with the other character?
6. What is the main character's reaction to the other character's words?
7. What is the main character's response to the situation?","[0.1904761904761905, 0.1818181818181818, 0.23529411764705882, 0.23529411764705882, 0.1904761904761905, 0.17391304347826086, 0.20000000000000004]","[0.865068, 0.876849, 0.8889349, 0.883343, 0.8772474, 0.88213885, 0.89417124]","[0.3085055351257324, 0.32423919439315796, 0.3159067630767822, 0.2750285267829895, 0.3139219880104065, 0.3358898162841797, 0.3592057228088379]","[0.6652049901111008, 0.6812455364200614, 0.18092176081223305, 0.7071067811865475, 0.5452469119630863, 0.48415247130346006, 0.4883499409416459]"
207,208,"""Well, whether you be crooked or straight, you will have to let me pass,"" said Per Gynt. He noticed that he was going around in a circle, and that the crooked one had coiled himself about the herdsman's cottage. At these words the crooked one moved a little to one side, so that Per Gynt could get into the cottage. When he entered he found it as dark inside as it was out. He stumbled and felt his way along the walls. He wanted to lay aside his firelock and his hunting-bag. But while he was feeling his way about, he once more noticed the something large, and cold and slippery.  ""And who are you now?"" cried Per Gynt.  ""O, I am the big crooked one,"" was the answer. And no matter where he took hold or where he set his foot, he could feel the coils of the crooked one laid around him.  ""This is a poor place to be in,"" thought Per Gynt, ""for this crooked one is outside and inside. I will soon put what is wrong to rights."" He took his firelock, went out again, and felt his way along the crooked one until he came to his head.",What happened because it was dark inside as it was outside?,"1. What is the name of the character in the story?
2. When did the character encounter the crooked one?
3. Where did the character encounter the crooked one?
4. Which of the following is not a part of the character's body: a) head, b) cottage, c) firelock, d) hunting-bag.
5. Why did the character encounter the crooked one?
6. How did the character encounter the crooked one?
7. How did the character feel about the situation?","[0.09090909090909091, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.8593061, 0.865563, 0.86450213, 0.8184534, 0.8638686, 0.8638222, 0.8755254]","[0.33289027214050293, 0.3074139356613159, 0.3280314803123474, 0.24248749017715454, 0.32740092277526855, 0.32307860255241394, 0.4108453392982483]","[0.0950391816390425, 0.8633400213704505, 0.8633400213704505, 0.036752344561789704, 0.8633400213704505, 1.0, 0.3303164318013807]"
208,209,"""Well, whether you be crooked or straight, you will have to let me pass,"" said Per Gynt. He noticed that he was going around in a circle, and that the crooked one had coiled himself about the herdsman's cottage. At these words the crooked one moved a little to one side, so that Per Gynt could get into the cottage. When he entered he found it as dark inside as it was out. He stumbled and felt his way along the walls. He wanted to lay aside his firelock and his hunting-bag. But while he was feeling his way about, he once more noticed the something large, and cold and slippery.  ""And who are you now?"" cried Per Gynt.  ""O, I am the big crooked one,"" was the answer. And no matter where he took hold or where he set his foot, he could feel the coils of the crooked one laid around him.  ""This is a poor place to be in,"" thought Per Gynt, ""for this crooked one is outside and inside. I will soon put what is wrong to rights."" He took his firelock, went out again, and felt his way along the crooked one until he came to his head.",What did Per Gynt want to do in the cottage?,"1. What is the name of the character in the story?
2. When did the character enter the cottage?
3. Where did the character find the cottage?
4. Which character is described as large and cold and slippery?
5. Who is the character who is outside and inside the cottage?
6. Why did the character enter the cottage?
7. How did the character feel while he was inside the cottage?","[0.28571428571428564, 0.3529411764705882, 0.3529411764705882, 0.0, 0.1904761904761905, 0.3529411764705882, 0.28571428571428564]","[0.87380433, 0.90707874, 0.9017048, 0.841375, 0.8759597, 0.90617996, 0.9086285]","[0.30673760175704956, 0.37877124547958374, 0.3853122591972351, 0.20163415372371674, 0.35282349586486816, 0.3888319134712219, 0.42673277854919434]","[0.04913270548144422, 0.8408964152537145, 0.23119742295813953, 0.02434178296655151, 0.28646290158800986, 0.8408964152537145, 0.30661487102926754]"
209,210,"""Well, whether you be crooked or straight, you will have to let me pass,"" said Per Gynt. He noticed that he was going around in a circle, and that the crooked one had coiled himself about the herdsman's cottage. At these words the crooked one moved a little to one side, so that Per Gynt could get into the cottage. When he entered he found it as dark inside as it was out. He stumbled and felt his way along the walls. He wanted to lay aside his firelock and his hunting-bag. But while he was feeling his way about, he once more noticed the something large, and cold and slippery.  ""And who are you now?"" cried Per Gynt.  ""O, I am the big crooked one,"" was the answer. And no matter where he took hold or where he set his foot, he could feel the coils of the crooked one laid around him.  ""This is a poor place to be in,"" thought Per Gynt, ""for this crooked one is outside and inside. I will soon put what is wrong to rights."" He took his firelock, went out again, and felt his way along the crooked one until he came to his head.",How did Per Gynt feel when he ran into the crooked one again?,"1. What is the name of the character who is speaking?
2. What is the name of the character who is being described?
3. What is the name of the character who is being referred to?
4. What is the name of the character who is being talked about?
5. What is the name of the character who is being addressed?
6. What is the name of the character who is being referred to?
7. What is the name of the character who is being talked about?
8. What is the name of the character who is being addressed?
9. What is the name of the character who is being described?
10. What is the name of the character who is being referred to?
11. What is the name of the character who is being talked about?
12. What is the name of the character who is being addressed?","[0.08333333333333334, 0.08333333333333334, 0.08, 0.08, 0.08333333333333334, 0.08, 0.08, 0.08333333333333334, 0.08333333333333334, 0.08, 0.08, 0.08333333333333334]","[0.8514287, 0.857659, 0.85647774, 0.8618299, 0.8553238, 0.85647774, 0.8618299, 0.8553238, 0.857659, 0.85647774, 0.8618299, 0.8553238]","[0.16635122895240784, 0.1790435016155243, 0.1755470484495163, 0.20307289063930511, 0.1803704798221588, 0.1755470484495163, 0.20307289063930511, 0.1803704798221588, 0.1790435016155243, 0.1755470484495163, 0.20307289063930511, 0.1803704798221588]","[0.6652049901111008, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
210,211,"""Well, whether you be crooked or straight, you will have to let me pass,"" said Per Gynt. He noticed that he was going around in a circle, and that the crooked one had coiled himself about the herdsman's cottage. At these words the crooked one moved a little to one side, so that Per Gynt could get into the cottage. When he entered he found it as dark inside as it was out. He stumbled and felt his way along the walls. He wanted to lay aside his firelock and his hunting-bag. But while he was feeling his way about, he once more noticed the something large, and cold and slippery.  ""And who are you now?"" cried Per Gynt.  ""O, I am the big crooked one,"" was the answer. And no matter where he took hold or where he set his foot, he could feel the coils of the crooked one laid around him.  ""This is a poor place to be in,"" thought Per Gynt, ""for this crooked one is outside and inside. I will soon put what is wrong to rights."" He took his firelock, went out again, and felt his way along the crooked one until he came to his head.",What happened wherever Per Gynt took hold or set his foot?,"1. What is the name of the character in the story?
2. When did the character enter the cottage?
3. Where did the character find the cottage?
4. Which character is described as large and cold and slippery?
5. Who is the character who is outside and inside the cottage?
6. Why did the character enter the cottage?
7. How did the character feel while inside the cottage?","[0.09090909090909091, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.8471352, 0.8626542, 0.8662508, 0.8317167, 0.84220713, 0.8625139, 0.86637175]","[0.26690083742141724, 0.33978235721588135, 0.34550172090530396, 0.22477273643016815, 0.33262526988983154, 0.31544172763824463, 0.33761507272720337]","[0.04913270548144422, 0.8408964152537145, 0.23119742295813953, 0.026658376817028855, 0.28646290158800986, 0.8408964152537145, 0.343763879968285]"
211,212,"""Well, whether you be crooked or straight, you will have to let me pass,"" said Per Gynt. He noticed that he was going around in a circle, and that the crooked one had coiled himself about the herdsman's cottage. At these words the crooked one moved a little to one side, so that Per Gynt could get into the cottage. When he entered he found it as dark inside as it was out. He stumbled and felt his way along the walls. He wanted to lay aside his firelock and his hunting-bag. But while he was feeling his way about, he once more noticed the something large, and cold and slippery.  ""And who are you now?"" cried Per Gynt.  ""O, I am the big crooked one,"" was the answer. And no matter where he took hold or where he set his foot, he could feel the coils of the crooked one laid around him.  ""This is a poor place to be in,"" thought Per Gynt, ""for this crooked one is outside and inside. I will soon put what is wrong to rights."" He took his firelock, went out again, and felt his way along the crooked one until he came to his head.",Why was the cottage a poor place to be in?,"1. What is the name of the character who is speaking?
2. What is the name of the character who is being spoken to?
3. What is the name of the character who is being referred to as crooked?
4. What is the name of the character who is being referred to as the herdsman?
5. What is the name of the character who is being referred to as the crooked one?
6. What is the name of the character who is being referred to as the big crooked one?
7. What is the name of the character who is being referred to as outside and inside?","[0.09523809523809525, 0.1818181818181818, 0.16666666666666666, 0.16, 0.15384615384615385, 0.14814814814814817, 0.15384615384615385]","[0.87029845, 0.8847935, 0.88056177, 0.8802113, 0.8804707, 0.88051045, 0.8770322]","[0.2971806526184082, 0.3082772195339203, 0.3282434344291687, 0.2701342701911926, 0.33750981092453003, 0.3444227874279022, 0.3060315251350403]","[0.6652049901111008, 0.7705017416604484, 0.824854520497596, 0.8761560783209453, 0.8938651488499076, 0.8394327083733336, 0.7541859578343534]"
